,year,month,day,yield_week_pc
154,2004,1,16,0.031044434756040573
155,2004,1,23,0.03126765042543411
156,2004,1,30,0.0314936600625515
157,2004,2,6,0.03395041450858116
158,2004,2,13,0.032690465450286865
159,2004,2,20,0.03336406871676445
160,2004,2,27,0.03346734493970871
161,2004,3,5,0.034060291945934296
162,2004,3,12,0.03555168956518173
163,2004,3,19,0.035812243819236755
164,2004,3,26,0.03659854084253311
165,2004,4,2,0.03586776182055473
166,2004,4,8,0.03653397783637047
167,2004,4,16,0.037690870463848114
168,2004,4,23,0.039362434297800064
169,2004,4,30,0.04122984781861305
170,2004,5,7,0.049252912402153015
171,2004,5,14,0.05138971284031868
172,2004,5,21,0.05076698213815689
173,2004,5,28,0.048716794699430466
174,2004,6,4,0.04419344291090965
175,2004,6,11,0.042395301163196564
176,2004,6,18,0.04261159524321556
177,2004,6,25,0.04212081804871559
178,2004,7,2,0.04113304615020752
179,2004,7,8,0.04078304395079613
180,2004,7,16,0.0396745465695858
181,2004,7,23,0.03988808020949364
182,2004,7,30,0.03960834816098213
183,2004,8,6,0.03960223123431206
184,2004,8,13,0.03971146419644356
185,2004,8,20,0.037993915379047394
186,2004,8,27,0.0377180241048336
187,2004,9,3,0.036994948983192444
188,2004,9,10,0.03723563253879547
189,2004,9,17,0.036843057721853256
190,2004,9,24,0.036176685243844986
191,2004,10,1,0.036121778190135956
192,2004,10,8,0.03622296079993248
193,2004,10,15,0.037028197199106216
194,2004,10,22,0.037388876080513
195,2004,10,29,0.03712227940559387
196,2004,11,5,0.04159747064113617
197,2004,11,12,0.041539859026670456
198,2004,11,19,0.041074689477682114
199,2004,11,26,0.04048345610499382
200,2004,12,3,0.039442162960767746
201,2004,12,10,0.03915999084711075
202,2004,12,17,0.038203850388526917
203,2004,12,23,0.03793967515230179
204,2004,12,30,0.037388771772384644
205,2005,1,7,0.03267134353518486
206,2005,1,14,0.033141300082206726
207,2005,1,21,0.033639680594205856
208,2005,1,28,0.0336490198969841
209,2005,2,4,0.03048011288046837
210,2005,2,11,0.028081482276320457
211,2005,2,18,0.027783464640378952
212,2005,2,25,0.027101045474410057
213,2005,3,4,0.02637934498488903
214,2005,3,11,0.026002442464232445
215,2005,3,18,0.02690485678613186
216,2005,3,24,0.02806609682738781
217,2005,4,1,0.028878550976514816
218,2005,4,8,0.0299500934779644
219,2005,4,15,0.030757548287510872
220,2005,4,22,0.0314103364944458
221,2005,4,29,0.031256355345249176
222,2005,5,6,0.03331600874662399
223,2005,5,13,0.03405461460351944
224,2005,5,20,0.03411274775862694
225,2005,5,27,0.03413292393088341
226,2005,6,3,0.03145502880215645
227,2005,6,10,0.031329791992902756
228,2005,6,17,0.03072105348110199
229,2005,6,24,0.030813157558441162
230,2005,7,1,0.031200258061289787
231,2005,7,8,0.032439734786748886
232,2005,7,15,0.03163443133234978
233,2005,7,22,0.03152332454919815
234,2005,7,29,0.031502846628427505
235,2005,8,5,0.03241239860653877
236,2005,8,12,0.031820379197597504
237,2005,8,19,0.031437527388334274
238,2005,8,26,0.03147728741168976
239,2005,9,2,0.032040003687143326
240,2005,9,9,0.03261050954461098
241,2005,9,16,0.03219442069530487
242,2005,9,23,0.030982721596956253
243,2005,9,30,0.030709147453308105
244,2005,10,7,0.03568708524107933
245,2005,10,14,0.036302484571933746
246,2005,10,21,0.037400707602500916
247,2005,10,28,0.03691999614238739
248,2005,11,4,0.029362739995121956
249,2005,11,11,0.02711513824760914
250,2005,11,18,0.027070291340351105
251,2005,11,25,0.026313474401831627
252,2005,12,2,0.026194827631115913
253,2005,12,9,0.025801699608564377
254,2005,12,16,0.02578268013894558
255,2005,12,23,0.025810034945607185
256,2005,12,29,0.025745950639247894
257,2006,1,6,0.024879543110728264
258,2006,1,13,0.023842334747314453
259,2006,1,20,0.02327483333647251
260,2006,1,27,0.02264871448278427
261,2006,2,3,0.022413916885852814
262,2006,2,10,0.023093590512871742
263,2006,2,17,0.02279687114059925
264,2006,2,24,0.02236820198595524
265,2006,3,3,0.024296745657920837
266,2006,3,10,0.02557937614619732
267,2006,3,17,0.02471569925546646
268,2006,3,24,0.024539388716220856
269,2006,3,31,0.02479693666100502
270,2006,4,7,0.024547824636101723
271,2006,4,13,0.02524884045124054
272,2006,4,20,0.024667993187904358
273,2006,4,28,0.02431868389248848
274,2006,5,5,0.026002459228038788
275,2006,5,12,0.02569490484893322
276,2006,5,19,0.02741476334631443
277,2006,5,26,0.028819061815738678
278,2006,6,2,0.02925383858382702
279,2006,6,9,0.03312692791223526
280,2006,6,16,0.035686954855918884
281,2006,6,23,0.03479913994669914
282,2006,6,30,0.033904045820236206
283,2006,7,7,0.03281734511256218
284,2006,7,14,0.03359038382768631
285,2006,7,21,0.0339532196521759
286,2006,7,28,0.03283380717039108
287,2006,8,4,0.030325623229146004
288,2006,8,11,0.02967337891459465
289,2006,8,18,0.029863519594073296
290,2006,8,25,0.030615881085395813
291,2006,9,1,0.03059815615415573
292,2006,9,8,0.03291981667280197
293,2006,9,15,0.03367810696363449
294,2006,9,22,0.03428889438509941
295,2006,9,29,0.03405490517616272
296,2006,10,6,0.030052175745368004
297,2006,10,13,0.029275203123688698
298,2006,10,20,0.029121771454811096
299,2006,10,27,0.028794553130865097
300,2006,11,3,0.029824696481227875
301,2006,11,10,0.030019115656614304
302,2006,11,17,0.02979002147912979
303,2006,11,24,0.02929799072444439
304,2006,12,1,0.03046136349439621
305,2006,12,8,0.033185359090566635
306,2006,12,15,0.03278711438179016
307,2006,12,22,0.032591164112091064
308,2006,12,28,0.032094553112983704
309,2007,1,5,0.028850944712758064
