,year,month,day,week_si
62,2014,3,14,0.01794411540031433
63,2014,3,21,0.018212571144104003
64,2014,3,28,0.018123098611831666
65,2014,4,4,0.018925110101699828
66,2014,4,11,0.018700653314590455
67,2014,4,25,0.016649973392486573
68,2014,5,2,0.016288843154907227
69,2014,5,9,0.016305326223373412
70,2014,5,16,0.015173400640487672
71,2014,5,23,0.015341484546661377
72,2014,5,30,0.014559111595153808
73,2014,6,6,0.014918978214263917
74,2014,6,13,0.015268163681030273
75,2014,6,27,0.014413881301879882
76,2014,7,4,0.015158143043518067
77,2014,7,11,0.01435935616493225
78,2014,7,15,0.014470973014831544
79,2014,8,1,0.013382703065872192
80,2014,8,8,0.01356662631034851
81,2014,8,15,0.013898854255676269
82,2014,8,22,0.012724974155426026
83,2014,8,29,0.012373636960983276
84,2014,9,5,0.013159011602401733
85,2014,9,12,0.012475330829620362
86,2014,9,19,0.012513346672058105
87,2014,9,26,0.012365709543228149
88,2014,10,3,0.012584556341171265
89,2014,10,10,0.013509684801101684
90,2014,10,17,0.013371992111206054
91,2014,10,23,0.014526076316833496
92,2014,10,31,0.015771560668945313
93,2014,11,7,0.01660912036895752
94,2014,11,14,0.015820908546447753
95,2014,11,21,0.016067520380020142
96,2014,11,28,0.014870851039886475
97,2014,12,5,0.014684585332870483
98,2014,12,12,0.014634501934051514
99,2014,12,19,0.01568970561027527
100,2014,12,26,0.016562005281448366
101,2015,1,2,0.015996834039688112
102,2015,1,9,0.016700564622879027
103,2015,1,16,0.016909865140914918
104,2015,1,23,0.017397775650024414
105,2015,1,30,0.017361810207366945
106,2015,2,6,0.017449811697006226
107,2015,2,13,0.017903368473052978
108,2015,2,20,0.018322045803070067
109,2015,2,27,0.017810741662979124
110,2015,3,6,0.017626490592956543
111,2015,3,13,0.018155325651168824
112,2015,3,20,0.019837095737457275
113,2015,3,27,0.02000296354293823
114,2015,4,2,0.01969810962677002
115,2015,4,10,0.02018791437149048
116,2015,4,17,0.019593682289123535
117,2015,4,24,0.01968543291091919
118,2015,4,30,0.019020769596099853
119,2015,5,8,0.01800181269645691
120,2015,5,15,0.017370920181274414
121,2015,5,22,0.017180173397064208
122,2015,5,29,0.017004561424255372
123,2015,6,5,0.017305195331573486
124,2015,6,12,0.018468177318572997
125,2015,6,19,0.018738181591033937
126,2015,6,26,0.018678401708602906
127,2015,7,3,0.01858126401901245
128,2015,7,10,0.01856562852859497
