ano,mes,dia,semana_si_100
2020,7,24,.0130117
2020,7,31,.0128609
2020,8,7,.0127804
2020,8,14,.0126169
2020,8,21,.0127701
2020,8,28,.0128999
2020,9,4,.0132243
2020,9,11,.0109083
2020,9,18,.0140718
2020,9,25,.0143676
2020,10,2,.0146494
2020,10,9,.01487
2020,10,16,.0115983
2020,10,23,.0147124
2020,10,30,.0144647
2020,11,6,.0118744
2020,11,13,.0152832
2020,11,20,.0148555
2020,11,27,.0145951
2020,12,4,.0149034
2020,12,11,.014689
2020,12,18,.0153008
2020,12,25,.0093628
2021,1,1,.0087295
2021,1,8,.0144303
2021,1,15,.014809
2021,1,22,.0147543
2021,1,29,.0119971
2021,2,5,.0151519
2021,2,12,.0148483
2021,2,19,.0091067
2021,2,26,.0164378
2021,3,5,.0165138
2021,3,12,.0179801
2021,3,19,.0181643
2021,3,26,.0179324
2021,4,2,.0136743
2021,4,9,.0166987
2021,4,16,.0166958
2021,4,23,.0135161
2021,4,30,.0164594
2021,5,7,.0161747
2021,5,14,.016333
2021,5,21,.016062
2021,5,28,.0159307
2021,6,4,.0123194
2021,6,11,.015331
2021,6,18,.0151229
2021,6,25,.0154116
2021,7,2,.0152435
2021,7,9,.0117558
2021,7,16,.0145829
2021,7,23,.0142972
2021,7,30,.0137751
2021,8,6,.0134729
2021,8,13,.0136033
2021,8,20,.0143969
2021,8,27,.014511
2021,9,3,.0145125
2021,9,10,.011725
2021,9,17,.0151478
2021,9,24,.015823
2021,10,1,.0159315
2021,10,8,.0169101
2021,10,15,.0135949
2021,10,22,.016879
2021,10,29,.0178229
2021,11,5,.0143918
2021,11,12,.0175575
2021,11,19,.0140952
2021,11,26,.0178116
2021,12,3,.0179986
2021,12,10,.0178639
2021,12,17,.0171394
2021,12,24,.0141023
2021,12,31,.0135321
2022,1,7,.0174268
2022,1,14,.01878
2022,1,21,.0196878
2022,1,28,.0200847
2022,2,4,.0197477
2022,2,11,.0198153
2022,2,18,.0205545
2022,2,25,.0200438
2022,3,4,.0123614
2022,3,11,.0205278
2022,3,18,.0203523
2022,3,25,.0205998
2022,4,1,.0193914
2022,4,8,.0190812
2022,4,15,.0152892
2022,4,22,.0152173
2022,4,29,.0187712
2022,5,6,.0189059
2022,5,13,.0191336
2022,5,20,.0201861
2022,5,27,.0205973
2022,6,3,.0204104
2022,6,10,.0196558
2022,6,17,.0154982
2022,6,24,.0194436
2022,7,1,.0185555
2022,7,8,.0188075
2022,7,15,.0186986
2022,7,22,.0187199
2022,7,29,.0192431
2022,8,5,.0209353
2022,8,12,.0216815
2022,8,19,.0220399
2022,8,26,.0201638
2022,9,2,.0192901
2022,9,9,.0157358
2022,9,16,.0201437
2022,9,23,.0216632
2022,9,30,.0222795
2022,10,7,.0243465
2022,10,14,.019051
2022,10,21,.0234637
2022,10,28,.0242408
2022,11,4,.0200031
2022,11,11,.0267475
2022,11,18,.0223939
2022,11,25,.0268558
2022,12,2,.0267534
2022,12,9,.0273111
2022,12,16,.0275456
2022,12,23,.0275384
2022,12,30,.021451
2023,1,6,.0275966
2023,1,13,.0276128
2023,1,20,.0268187
2023,1,27,.0268889
2023,2,3,.0264965
2023,2,10,.0266314
2023,2,17,.0271496
2023,2,24,.016518
2023,3,3,.0275053
2023,3,10,.0272835
2023,3,17,.0268262
2023,3,24,.0256505
2023,3,31,.024466
2023,4,7,.0197536
2023,4,14,.0249752
2023,4,21,.0200942
2023,4,28,.0258297
2023,5,5,.0201676
2023,5,12,.0252576
2023,5,19,.0260971
2023,5,26,.0263867
2023,6,2,.0261735
2023,6,9,.0202744
2023,6,16,.0252826
2023,6,23,.0237663
2023,6,30,.0229352
2023,7,7,.0221802
2023,7,14,.0219557
2023,7,21,.0220035
2023,7,28,.0222557
2023,8,4,.022692
2023,8,11,.023497
2023,8,18,.0235958
2023,8,25,.0223838
2023,9,1,.0223515
2023,9,8,.0177638
2023,9,14,.0220157
