,year,month,day,week_loan_fee
98,2014,12,12,0.013760701417922974
99,2014,12,19,0.01683609127998352
100,2014,12,26,0.019065382480621337
101,2015,1,2,0.015121835470199584
102,2015,1,9,0.014315485954284668
103,2015,1,16,0.014024614095687867
104,2015,1,23,0.013848456144332886
105,2015,1,30,0.013588593006134034
106,2015,2,6,0.014147529602050781
107,2015,2,13,0.015176374912261963
108,2015,2,20,0.01378757119178772
109,2015,2,27,0.01435136079788208
110,2015,3,6,0.013799867630004882
111,2015,3,13,0.014426209926605225
112,2015,3,20,0.01564613938331604
113,2015,3,27,0.023970470428466797
114,2015,4,2,0.0209291934967041
115,2015,4,10,0.02123716115951538
116,2015,4,17,0.024088335037231446
117,2015,4,24,0.02140998363494873
118,2015,4,30,0.020317490100860595
119,2015,5,8,0.023940367698669432
120,2015,5,15,0.018484443426132202
121,2015,5,22,0.015560134649276733
122,2015,5,29,0.014977467060089112
123,2015,6,5,0.01285291075706482
124,2015,6,12,0.013325639963150025
125,2015,6,19,0.011957722902297973
126,2015,6,26,0.01103107213973999
127,2015,7,3,0.010394605398178101
128,2015,7,10,0.008571560978889465
129,2015,7,17,0.008799638748168945
130,2015,7,24,0.009277952909469605
131,2015,7,31,0.008846959471702576
132,2015,8,6,0.009578115344047546
133,2015,8,14,0.011193795204162598
134,2015,8,21,0.012706136703491211
135,2015,8,28,0.013808975219726563
136,2015,9,4,0.01587199926376343
137,2015,9,11,0.017369755506515504
138,2015,9,18,0.018686965703964234
139,2015,9,25,0.01889646053314209
140,2015,10,2,0.019065576791763305
141,2015,10,9,0.02064523458480835
142,2015,10,16,0.02220085859298706
143,2015,10,23,0.02213231086730957
144,2015,10,30,0.02186174154281616
145,2015,11,6,0.021988058090209962
146,2015,11,13,0.021412081718444824
147,2015,11,19,0.021153159141540527
148,2015,11,27,0.02083054780960083
149,2015,12,4,0.02004157066345215
150,2015,12,11,0.02037771224975586
151,2015,12,18,0.02153557538986206
152,2015,12,23,0.023771746158599852
153,2015,12,30,0.024434432983398438
154,2016,1,8,0.023990917205810546
155,2016,1,15,0.024251043796539307
156,2016,1,22,0.02309964656829834
157,2016,1,29,0.025478897094726564
158,2016,2,4,0.027251176834106446
159,2016,2,12,0.028861756324768065
160,2016,2,19,0.028232214450836183
161,2016,2,26,0.02788252592086792
162,2016,3,4,0.02828385353088379
163,2016,3,11,0.028148307800292968
164,2016,3,18,0.025947253704071045
165,2016,3,24,0.02431156873703003
166,2016,4,1,0.021905694007873535
167,2016,4,8,0.019347026348114013
168,2016,4,15,0.01898122310638428
169,2016,4,22,0.016704107522964477
170,2016,4,29,0.014593621492385864
171,2016,5,6,0.013367520570755005
172,2016,5,13,0.012692444324493408
173,2016,5,20,0.011676633358001709
174,2016,5,27,0.010712828636169434
175,2016,6,3,0.010046440362930297
176,2016,6,10,0.009101418256759643
177,2016,6,17,0.009083657264709473
178,2016,6,24,0.009411219358444214
179,2016,7,1,0.009797970056533814
180,2016,7,8,0.009892547726631165
181,2016,7,15,0.010810847282409669
182,2016,7,22,0.010354275703430177
183,2016,7,29,0.010395302772521972
184,2016,8,5,0.011153404712677001
185,2016,8,12,0.011373875141143798
186,2016,8,19,0.010617202520370484
187,2016,8,26,0.009918314218521119
188,2016,9,1,0.010019521713256836
189,2016,9,9,0.008963640928268433
190,2016,9,16,0.008299067616462708
191,2016,9,23,0.008616850972175598
192,2016,9,30,0.009814453125
193,2016,10,7,0.009044547080993653
194,2016,10,14,0.00843653678894043
195,2016,10,21,0.00883137583732605
196,2016,10,28,0.0090474271774292
197,2016,11,4,0.007524862289428711
198,2016,11,11,0.008150382041931152
199,2016,11,18,0.008464702367782594
200,2016,11,25,0.008007600307464599
201,2016,12,2,0.007872615456581116
202,2016,12,9,0.009026337265968323
203,2016,12,16,0.009709652662277222
204,2016,12,23,0.010418651103973388
205,2016,12,29,0.010284519195556641
206,2017,1,6,0.009875514507293702
207,2017,1,13,0.009820380210876466
208,2017,1,20,0.010241749286651612
209,2017,1,27,0.009566007256507874
210,2017,2,3,0.010061246156692506
211,2017,2,10,0.011935023069381713
212,2017,2,17,0.012753835916519164
213,2017,2,24,0.01155552864074707
214,2017,3,3,0.010660448074340821
215,2017,3,10,0.010771964788436889
216,2017,3,17,0.010712677240371704
217,2017,3,24,0.011973832845687865
218,2017,3,31,0.011199625730514527
219,2017,4,7,0.010095332860946655
220,2017,4,13,0.01245642900466919
221,2017,4,20,0.013790431022644043
222,2017,4,28,0.012269078493118287
223,2017,5,5,0.011824214458465576
224,2017,5,12,0.011898431777954101
225,2017,5,19,0.01186235785484314
226,2017,5,26,0.01381311535835266
227,2017,6,2,0.013058311939239502
228,2017,6,9,0.01255613923072815
229,2017,6,16,0.012075767517089844
230,2017,6,23,0.013771212100982666
231,2017,6,30,0.012887846231460571
232,2017,7,7,0.013187628984451295
233,2017,7,14,0.01255654811859131
234,2017,7,21,0.013340892791748047
235,2017,7,28,0.014235937595367431
236,2017,8,4,0.01323966383934021
237,2017,8,11,0.01337929368019104
238,2017,8,18,0.01226688027381897
239,2017,8,25,0.011844655275344848
240,2017,9,1,0.00821290910243988
241,2017,9,8,0.009985020160675049
242,2017,9,15,0.010429879426956177
243,2017,9,22,0.010743709802627564
244,2017,9,29,0.009745858907699585
245,2017,10,6,0.009724792242050171
246,2017,10,13,0.008767537474632263
247,2017,10,20,0.007875710725784302
248,2017,10,27,0.007752113938331604
249,2017,11,3,0.00754259467124939
250,2017,11,10,0.008092449903488159
251,2017,11,17,0.009051638245582581
252,2017,11,24,0.010397344827651978
253,2017,12,1,0.011901490688323975
254,2017,12,8,0.00866327404975891
255,2017,12,15,0.008381292223930359
256,2017,12,22,0.0076591426134109495
257,2017,12,28,0.007166129350662231
258,2018,1,5,0.006775743961334228
259,2018,1,12,0.0059082525968551635
260,2018,1,19,0.005458967685699463
261,2018,1,26,0.004726328551769256
262,2018,2,2,0.006089342832565308
263,2018,2,9,0.006711119413375854
264,2018,2,16,0.00622851550579071
265,2018,2,23,0.005780009627342224
266,2018,3,2,0.005642227530479431
267,2018,3,9,0.0055019867420196536
268,2018,3,16,0.005323580503463745
269,2018,3,23,0.00589038610458374
270,2018,3,29,0.005801664590835571
271,2018,4,6,0.00532620906829834
272,2018,4,13,0.005100921392440796
273,2018,4,20,0.004841002523899078
274,2018,4,27,0.0047933623194694516
275,2018,5,4,0.004733240604400635
276,2018,5,11,0.004591763615608215
277,2018,5,18,0.004569127857685089
278,2018,5,25,0.0069372236728668215
279,2018,6,1,0.00832249402999878
280,2018,6,8,0.009204673171043396
281,2018,6,15,0.011893550157546997
282,2018,6,22,0.013770561218261718
283,2018,6,29,0.013629062175750732
284,2018,7,6,0.013018015623092651
285,2018,7,13,0.011367869377136231
286,2018,7,20,0.011431734561920166
287,2018,7,27,0.010758166313171386
288,2018,8,3,0.010211832523345947
289,2018,8,10,0.010059325695037842
290,2018,8,17,0.00937646210193634
291,2018,8,24,0.008624207973480225
292,2018,8,31,0.007814940810203553
293,2018,9,6,0.0075626933574676515
294,2018,9,14,0.007987738251686097
295,2018,9,21,0.0067041277885437015
296,2018,9,28,0.005709303617477417
297,2018,10,5,0.004936476945877075
298,2018,10,11,0.005504062175750732
299,2018,10,19,0.006007142066955566
300,2018,10,26,0.005460461378097534
301,2018,11,1,0.006521457433700561
302,2018,11,9,0.006926618814468384
303,2018,11,16,0.0067773348093032836
304,2018,11,23,0.006361832022666931
305,2018,11,30,0.006167784929275512
306,2018,12,7,0.005563285350799561
307,2018,12,14,0.005643738508224487
308,2018,12,21,0.0056499546766281125
309,2018,12,28,0.00613403856754303
310,2019,1,4,0.005877383351325989
311,2019,1,11,0.005160704851150512
312,2019,1,18,0.004437313079833984
313,2019,1,24,0.004618628621101379
314,2019,2,1,0.00471077710390091
315,2019,2,8,0.004361573159694671
316,2019,2,15,0.011695632934570313
317,2019,2,22,0.0054943859577178955
318,2019,3,1,0.006059266328811645
319,2019,3,8,0.006511290073394776
320,2019,3,15,0.006042482852935791
321,2019,3,22,0.006403591632843018
322,2019,3,29,0.006377894878387452
323,2019,4,5,0.006335532069206238
324,2019,4,12,0.007269055843353272
