year,month,day,ivolbr
2013,2,13,18.50267
2013,2,14,19.28119
2013,2,15,19.4508
2013,2,18,19.45208
2013,2,19,19.94868
2013,2,20,19.80569
2013,2,21,20.0529
2013,2,22,19.51828
2013,2,25,18.75703
2013,2,26,19.93031
2013,2,27,18.72769
2013,2,28,18.18218
2013,3,1,19.17099
2013,3,4,18.09319
2013,3,5,18.63018
2013,3,6,19.54754
2013,3,7,18.59208
2013,3,8,18.45659
2013,3,13,19.10587
2013,3,14,18.89925
2013,3,15,19.7338
2013,3,18,19.73766
2013,3,19,21.42095
2013,3,20,19.85507
2013,3,21,20.10499
2013,3,22,20.51052
2013,3,25,20.58047
2013,3,26,19.84382
2013,3,27,19.15041
2013,3,28,18.33888
2013,4,8,21.34805
2013,4,9,20.45468
2013,4,10,21.28042
2013,4,11,19.86063
2013,4,15,23.13064
2013,4,16,21.013
2013,4,17,22.05263
2013,4,18,21.97945
2013,4,19,22.73436
2013,4,22,21.76791
2013,4,23,21.16098
2013,4,24,21.49375
2013,4,25,20.58698
2013,4,26,21.69745
2013,4,29,21.27429
2013,4,30,21.2697
2013,5,2,22.36205
2013,5,3,22.00988
2013,5,6,18.99451
2013,5,7,20.18173
2013,5,8,20.75463
2013,5,9,20.38411
2013,5,10,21.68759
2013,5,13,20.3392
2013,5,14,21.78222
2013,5,15,20.39415
2013,5,16,19.17499
2013,5,17,19.83083
2013,5,20,17.29045
2013,5,21,20.04898
2013,5,22,21.35839
2013,5,23,21.70304
2013,5,24,19.20146
2013,5,27,20.40494
2013,5,28,19.11505
2013,5,29,20.58075
2013,5,31,22.71482
2013,6,3,21.68574
2013,6,4,22.76031
2013,6,5,23.22045
2013,6,6,24.75409
2013,6,7,25.10623
2013,6,10,23.6726
2013,6,11,26.27497
2013,6,12,29.42851
2013,6,13,27.17491
2013,6,14,27.28767
2013,6,17,26.9298
2013,6,18,26.85252
2013,6,19,28.11517
2013,6,20,29.68584
2013,6,21,30.52095
2013,6,24,30.91683
2013,6,25,30.15717
2013,6,26,27.39766
2013,6,27,26.24382
2013,6,28,24.01179
2013,7,1,25.19153
2013,7,2,27.26174
2013,7,3,26.24734
2013,7,4,24.85707
2013,7,5,27.99068
2013,7,8,25.31346
2013,7,10,25.01576
2013,7,11,22.98344
2013,7,12,23.63146
2013,7,15,25.66155
2013,7,16,24.72497
2013,7,17,25.06169
2013,7,18,24.30915
2013,7,19,23.4451
2013,7,22,22.94747
2013,7,23,22.97816
2013,7,24,23.49057
2013,7,25,22.04397
2013,7,26,22.82086
2013,7,29,25.198
2013,7,30,23.09666
2013,7,31,24.13238
2013,8,1,23.86527
2013,8,2,24.63252
2013,8,5,24.59274
2013,8,6,21.99494
2013,8,7,24.37305
2013,8,8,24.00725
2013,8,9,24.51284
2013,8,12,25.5106
2013,8,13,25.62064
2013,8,14,26.77797
2013,8,15,26.63284
2013,8,16,25.01656
2013,8,19,27.74838
2013,8,20,26.9497
2013,8,21,24.91083
2013,8,22,25.11607
2013,8,23,25.49946
2013,8,26,25.26933
2013,8,27,25.93191
2013,8,28,25.36496
2013,8,29,26.97864
2013,8,30,26.68733
2013,9,2,30.74903
2013,9,3,28.77525
2013,9,4,29.1134
2013,9,5,28.45625
2013,9,6,30.59793
2013,9,9,30.51256
2013,9,10,27.35733
2013,9,11,29.68928
2013,9,12,27.77088
2013,9,13,28.08624
2013,9,16,23.27283
2013,9,17,25.2411
2013,9,18,24.62107
2013,9,19,28.93672
2013,9,20,26.80833
2013,9,23,24.69681
2013,9,24,24.86875
2013,9,25,22.44099
2013,9,26,22.73064
2013,9,27,20.88333
2013,9,30,21.8082
2013,10,1,21.22878
2013,10,2,22.3013
2013,10,3,26.66969
2013,10,4,24.03976
2013,10,7,22.85507
2013,10,8,19.62042
2013,10,9,22.5537
2013,10,10,21.40198
2013,10,11,21.88496
2013,10,14,21.20176
2013,10,15,20.90436
2013,10,16,25.05478
2013,10,17,24.69193
2013,10,18,23.76549
2013,10,21,21.02421
2013,10,22,20.70441
2013,10,23,21.79246
2013,10,24,23.7011
2013,10,25,23.21848
2013,10,30,21.99363
2013,10,31,20.40697
2013,11,1,20.00981
2013,11,4,
2013,11,6,19.56084
2013,11,7,17.51949
2013,11,8,21.09014
2013,11,13,22.92613
2013,11,14,21.91118
2013,11,18,21.80186
2013,11,19,22.8903
2013,11,21,24.02621
2013,11,22,23.93984
2013,11,25,
2013,11,26,24.74499
2013,11,27,21.27611
2013,11,28,19.8994
2013,11,29,
2013,12,2,25.66299
2013,12,3,25.61572
2013,12,4,21.46923
2013,12,5,25.0424
2013,12,6,20.85843
2013,12,9,21.23209
2013,12,10,22.48223
2013,12,11,20.62868
2013,12,12,
2013,12,13,20.65628
2013,12,17,22.91566
2013,12,19,19.40058
2013,12,20,19.86369
2013,12,23,
2013,12,26,19.32739
2013,12,27,
2014,1,6,
2014,1,8,17.52482
2014,1,9,20.36616
2014,1,10,20.22741
2014,1,13,19.06852
2014,1,14,20.48377
2014,1,15,19.63762
2014,1,16,16.9781
2014,1,20,21.48081
2014,1,21,18.61143
2014,1,22,19.56411
2014,1,23,21.69897
2014,1,24,23.46665
2014,1,27,20.82571
2014,1,29,20.48252
2014,1,30,23.71042
2014,1,31,17.73227
2014,2,3,18.99703
2014,2,4,20.31553
2014,2,5,21.82495
2014,2,6,21.13556
2014,2,10,21.60239
2014,2,11,20.4457
2014,2,13,21.93703
2014,2,14,22.9695
2014,2,17,23.2472
2014,2,19,23.88868
2014,2,20,22.99726
2014,2,21,22.72434
2014,2,24,23.2829
2014,2,25,25.55563
2014,2,26,21.90398
2014,2,27,22.06169
2014,2,28,22.79824
2014,3,5,23.97398
2014,3,6,23.69235
2014,3,7,24.55368
2014,3,10,25.83415
2014,3,11,26.9508
2014,3,12,25.94129
2014,3,13,23.44363
2014,3,14,27.50588
2014,3,18,22.23537
2014,3,19,22.68225
2014,3,20,19.61011
2014,3,21,23.29696
2014,3,24,22.3087
2014,3,25,22.40017
2014,3,26,22.27722
2014,3,27,20.62339
2014,3,28,22.82022
2014,3,31,20.40563
2014,4,1,19.66417
2014,4,2,20.83667
2014,4,3,20.15531
2014,4,4,18.98393
2014,4,7,21.82261
2014,4,8,23.47924
2014,4,9,20.49755
2014,4,10,24.02356
2014,4,11,21.5528
2014,4,14,20.53466
2014,4,15,24.13181
2014,4,16,22.05298
2014,4,17,22.38825
2014,4,23,
2014,4,24,18.17724
2014,4,25,23.32735
2014,4,28,23.01289
2014,4,29,21.50378
2014,4,30,20.22363
2014,5,2,20.32331
2014,5,5,20.18535
2014,5,7,18.97151
2014,5,8,18.64059
2014,5,9,20.40615
2014,5,12,18.28133
2014,5,13,16.4404
2014,5,14,18.90018
2014,5,15,
2014,5,16,16.95383
2014,5,20,17.58489
2014,5,21,16.81497
2014,5,22,
2014,5,23,18.08675
2014,5,26,15.32696
2014,5,27,18.7401
2014,5,28,16.81854
2014,5,29,17.81185
2014,5,30,18.45242
2014,6,2,17.86847
2014,6,3,19.21682
2014,6,4,20.01785
2014,6,5,19.38097
2014,6,6,18.80722
2014,6,9,15.03923
2014,6,10,19.04264
2014,6,11,19.97537
2014,6,16,20.54644
2014,6,18,20.10201
2014,6,20,21.20569
2014,6,24,20.70446
2014,6,25,22.56336
2014,6,26,
2014,6,30,20.0976
2014,7,1,19.2654
2014,7,3,18.63517
2014,7,7,
2014,7,10,17.42953
2014,7,11,16.41455
2014,7,14,20.56072
2014,7,15,19.65485
2014,7,16,19.97617
2014,7,17,21.58987
2014,7,18,19.52204
2014,7,21,19.84085
2014,7,22,20.63833
2014,7,23,14.92871
2014,7,24,18.36809
2014,7,25,19.83491
2014,7,28,20.84048
2014,7,29,21.91025
2014,7,30,23.51569
2014,7,31,22.21787
2014,8,1,24.39975
2014,8,4,19.85889
