data_mes_ano;custo_capital_1ano_1;custo_capital_5anos_1;custo_capital_10anos_1;custo_capital_20anos_1
"8/2012";5.71;7.46;7.94;8.12
"9/2012";5.72;7.32;7.76;8.02
"10/2012";5.64;6.85;7.39;7.8
"11/2012";5.76;6.81;7.39;7.81
"12/2012";5.45;6.49;7.23;7.75
"1/2013";5.38;6.48;7.16;7.58
"2/2013";5.96;7.18;7.67;7.91
"3/2013";6.24;7.34;7.69;7.93
"4/2013";6.38;7.45;7.87;8.21
"5/2013";6.45;7.46;7.93;8.24
"6/2013";7.43;8.8;8.98;9.13
"7/2013";7.35;8.76;8.95;9.17
"8/2013";7.7;9.11;9.21;9.32
"9/2013";7.79;9.26;9.39;9.49
"10/2013";7.92;9.28;9.47;9.61
"11/2013";8.41;9.75;9.88;10
"12/2013";8.32;9.99;10.21;10.36
"1/2014";8.79;10.29;10.44;10.56
"2/2014";9.15;10.27;10.53;10.69
"3/2014";8.92;10.15;10.42;10.64
"4/2014";8.93;10.01;10.23;10.46
"5/2014";9.06;9.92;10.05;10.1
"6/2014";8.84;9.55;9.87;9.94
"7/2014";8.76;9.47;9.76;9.86
"8/2014";8.9;9.5;9.7;9.75
"9/2014";9.01;9.45;9.52;9.56
"10/2014";9.33;9.63;9.61;9.7
"11/2014";9.72;9.79;9.82;9.92
"12/2014";9.88;9.96;9.96;10.02
"1/2015";9.77;9.85;9.8;9.86
"2/2015";10.14;10.14;10.09;10.12
"3/2015";10.61;10.33;10.29;10.27
"4/2015";10.94;10.26;10.15;10.03
"5/2015";11.51;10.33;10.11;9.87
"6/2015";11.8;10.32;10.05;9.88
"7/2015";11.83;10.43;10.3;10.23
"8/2015";12.33;10.89;10.88;10.77
"9/2015";13.25;11.38;11.34;11.31
"10/2015";12.75;11.16;11.24;11.21
"11/2015";12.35;10.95;10.97;10.84
"12/2015";12.56;11.25;11.18;11.19
"1/2016";12.01;10.77;11.18;11.29
"2/2016";11.21;10.49;11.07;11.22
"3/2016";10.94;10.09;10.46;10.52
"4/2016";10.92;10.12;10.23;10.18
"5/2016";10.96;9.88;9.87;9.9
"6/2016";10.95;9.95;9.96;9.97
"7/2016";11.27;10.04;9.98;9.86
"8/2016";11.52;9.84;9.73;9.63
"9/2016";11.41;9.9;9.8;9.77
"10/2016";11.23;9.71;9.66;9.54
"11/2016";11.36;10.05;10.01;9.87
"12/2016";10.94;9.94;9.95;9.88
"1/2017";10.23;9.5;9.56;9.44
"2/2017";9.77;9.3;9.32;9.19
"3/2017";9.22;8.94;9.14;9.02
"4/2017";8.82;8.72;9.12;9.12
"5/2017";8.46;9;9.36;9.28
"6/2017";8.52;9.27;9.51;9.46
"7/2017";7.91;8.96;9.25;9.28
"8/2017";7.19;8.44;8.91;9.02
"9/2017";7.15;8.21;8.74;8.85
"10/2017";6.95;8.08;8.7;8.87
"11/2017";6.88;8.42;8.94;9.13
"12/2017";6.89;8.67;9.01;9.25
"1/2018";6.83;8.39;8.68;9.04
"2/2018";6.67;8.34;8.61;8.91
"3/2018";6.46;8.14;8.59;8.88
"4/2018";6.22;8;8.61;9.01
"5/2018";6.44;8.38;8.93;9.22
"6/2018";7.14;9.12;9.52;9.65
"7/2018";7.44;9.06;9.5;9.56
"8/2018";7.98;9.12;9.39;9.54
"9/2018";8.02;9.46;9.62;9.73
"10/2018";7.19;8.74;9.01;9.22
"11/2018";7.2;8.52;8.73;8.97
"12/2018";6.89;8.39;8.63;8.89
"1/2019";6.51;7.98;8.22;8.5
"2/2019";6.39;7.89;8.02;8.33
"3/2019";6.38;7.81;7.99;8.26
"4/2019";6.59;7.89;8.12;8.33
"5/2019";6.7;7.74;7.94;8.14
"6/2019";6.35;7.17;7.42;7.72
"7/2019";5.8;6.7;7.12;7.46
"8/2019";5.63;6.7;7.1;7.44
"9/2019";5.55;6.64;7.08;7.42
"10/2019";5.04;6.19;6.75;7.13
"11/2019";4.81;6.05;6.66;7.04
"12/2019";4.5;6.18;6.82;7.21
"1/2020";4.61;6.25;6.91;7.25
"2/2020";4.7;6.14;6.76;7.19
"3/2020";4.41;6.92;7.53;8.02
"4/2020";4.14;6.75;7.66;8.23
"5/2020";3.9;6.6;7.69;8.18
"6/2020";3.26;5.99;7.19;7.9
"7/2020";3.01;5.65;6.79;7.58
"8/2020";3.17;5.62;6.79;7.5
"9/2020";3.22;5.87;7.03;7.73
"10/2020";3.31;6.27;7.3;7.93
"11/2020";3.19;6.38;7.3;7.93
"12/2020";2.62;6.03;6.9;7.63
"1/2021";3.26;6.25;7.01;7.62
"2/2021";3.54;6.34;7.12;7.66
"3/2021";4.11;6.92;7.49;7.91
"4/2021";4.9;7.31;7.85;8.11
"5/2021";5.1;7.21;7.9;8.16
"6/2021";5.7;7.31;7.81;8.03
"7/2021";6.17;7.53;7.9;8.13
"8/2021";7.13;8.08;8.29;8.44
"9/2021";7.53;8.37;8.54;8.69
"10/2021";8.99;8.8;8.98;9.07
"11/2021";10.28;9.08;9.11;9.15
"12/2021";10.29;8.84;8.94;9.03
"1/2022";10.66;9.18;9.37;9.48
"2/2022";10.81;9.16;9.42;9.49
"3/2022";10.82;9.34;9.54;9.6
"4/2022";10.97;9.14;9.34;9.45
"5/2022";11.17;9.36;9.5;9.59
"6/2022";11.56;9.37;9.52;9.65
"7/2022";12.66;9.84;9.94;10.02
"8/2022";12.12;9.45;9.71;9.81
"9/2022";12.25;9.46;9.65;9.69
"10/2022";11.98;9.38;9.59;9.58
"11/2022";12.42;9.68;9.86;9.83
"12/2022";12.45;9.99;10.04;10.06
"1/2023";11.98;9.93;10.03;10.17
"2/2023";11.56;9.87;10.11;10.23
"3/2023";11.21;9.62;10.03;10.21
"4/2023";11.36;9.4;9.8;9.93
"5/2023";11.52;9.13;9.5;9.68
"6/2023";11.66;8.99;9.22;9.42
"7/2023";11.28;8.85;9.07;9.3
