data_mes_ano,custo_capital_1ano_1,custo_capital_5anos_1,custo_capital_10anos_1,custo_capital_20anos_1
"2/2021",3.53,6.33,7.11,7.65
"3/2021",4.11,6.92,7.48,7.9
"4/2021",4.89,7.3,7.84,8.1
"5/2021",5.1,7.2,7.89,8.15
"6/2021",5.69,7.31,7.8,8.02
"7/2021",6.16,7.53,7.89,8.12
"8/2021",7.12,8.07,8.28,8.43
"9/2021",7.52,8.36,8.54,8.68
"10/2021",8.98,8.8,8.97,9.06
"11/2021",10.27,9.07,9.1,9.14
"12/2021",10.28,8.83,8.93,9.02
"1/2022",10.65,9.17,9.37,9.47
"2/2022",10.81,9.15,9.42,9.48
"3/2022",10.81,9.34,9.53,9.59
"4/2022",10.97,9.13,9.33,9.44
"5/2022",11.16,9.35,9.49,9.58
"6/2022",11.55,9.36,9.51,9.64
"7/2022",12.65,9.83,9.93,10.02
"8/2022",12.12,9.45,9.7,9.8
"9/2022",12.24,9.45,9.64,9.68
"10/2022",11.97,9.38,9.58,9.57
