ano,mes,dia,semana_aluguel_100
2019,3,8,.0063376
2019,3,15,.0058779
2019,3,22,.0062509
2019,3,29,.0062361
2019,4,5,.0062256
2019,4,12,.007178
2019,4,18,.0058513
2019,4,26,.0068334
2019,5,3,.005231
2019,5,10,.0116689
2019,5,17,.0060468
2019,5,24,.0071588
2019,5,31,.0075474
2019,6,7,.0079905
2019,6,14,.0079748
2019,6,21,.0074616
2019,6,28,.008401
2019,7,5,.007592
2019,7,12,.0068048
2019,7,19,.0099399
2019,7,26,.0106786
2019,8,2,.0087387
2019,8,9,.0078248
2019,8,16,.0075868
2019,8,23,.0069634
2019,8,30,.0063221
2019,9,6,.0058764
2019,9,13,.006045
2019,9,20,.0058174
2019,9,27,.0072457
2019,10,4,.0058276
2019,10,11,.0059408
2019,10,18,.0056869
2019,10,25,.0049504
2019,11,1,.005743
2019,11,8,.0093608
2019,11,15,.0055927
2019,11,22,.0052011
2019,11,29,.0066354
2019,12,6,.0065767
2019,12,13,.0066359
2019,12,20,.0069104
2019,12,27,.0044071
2019,12,31,.0032402
2020,1,3,.0049843
2020,1,10,.0084808
2020,1,17,.0062409
2020,1,24,.0062542
2020,1,31,.0075231
2020,2,7,.009154
2020,2,14,.0082421
2020,2,21,.0073645
2020,2,28,.0040987
2020,3,6,.0059261
2020,3,13,.0094696
2020,3,20,.0156524
2020,3,27,.017232
2020,4,3,.0157171
2020,4,10,.0111093
2020,4,17,.0120492
2020,4,24,.0090431
2020,5,1,.0082028
2020,5,8,.0094957
2020,5,15,.0085267
2020,5,22,.0077037
2020,5,29,.0074049
2020,6,5,.0074938
2020,6,12,.0051541
2020,6,19,.0059763
2020,6,26,.005956
2020,7,3,.0058386
2020,7,10,.0070104
2020,7,17,.0062275
2020,7,24,.0071194
2020,7,31,.0064612
2020,8,7,.0063189
2020,8,14,.0054554
2020,8,21,.0054572
2020,8,28,.0059621
2020,9,4,.0060172
2020,9,11,.0047773
2020,9,18,.0058365
2020,9,25,.0052138
2020,10,2,.0056528
2020,10,9,.0056342
2020,10,16,.0039988
2020,10,23,.0051023
2020,10,30,.0051068
2020,11,6,.0045367
2020,11,13,.0061083
2020,11,20,.0056817
2020,11,27,.0055113
2020,12,4,.0054854
2020,12,11,.0057754
2020,12,18,.0072402
2020,12,25,.005249
2021,1,1,.0038241
2021,1,8,.0066481
2021,1,15,.0079085
2021,1,22,.0088349
2021,1,29,.0086347
2021,2,5,.0117658
2021,2,12,.0106219
2021,2,19,.0065456
2021,2,26,.0119241
2021,3,5,.0129175
2021,3,12,.0145774
2021,3,19,.0121421
