date,average_short_interest
2013-08-09,47.16355400880902
2013-08-12,43.79984555188595
2013-08-13,44.96330240841848
2013-08-14,45.53281707254818
2013-08-15,46.03323125555397
2013-08-16,45.70626742382807
2013-08-19,44.57785468286412
2013-08-20,44.97712977422491
2013-08-21,44.45348256522361
2013-08-22,42.815313138856794
2013-08-23,41.24738654701801
2013-08-26,41.07005587866296
2013-08-27,40.95283167552095
2013-08-28,40.72284518843155
2013-08-29,41.60701832622887
2013-08-30,41.15161951561749
2013-09-02,40.69747043652365
2013-09-03,40.91381692873743
2013-09-04,40.58556268845294
2013-09-05,40.38690162877797
2013-09-06,38.822323725760036
2013-09-09,38.635329283906806
2013-09-10,37.45278107661812
2013-09-11,37.10163729654128
2013-09-12,36.33181556515772
2013-09-13,36.785367709448785
2013-09-16,36.315074810653094
2013-09-17,35.98043983217578
2013-09-18,35.84250944379457
2013-09-19,35.560804796171546
2013-09-20,35.33185132329709
2013-09-23,34.74983018180209
2013-09-24,34.06544594975864
2013-09-25,34.03033974046948
2013-09-26,33.73375607050776
2013-09-27,33.26609934117391
2013-09-30,33.40784322363553
2013-10-01,33.16298818626152
2013-10-02,33.46006642650395
2013-10-03,33.76783361822257
2013-10-04,35.645941562180845
2013-10-07,33.45404576188843
2013-10-08,33.59840012749366
2013-10-09,33.483492873203325
2013-10-10,33.405448324197955
2013-10-11,33.283052939968016
2013-10-14,33.26329510580376
2013-10-15,33.68137541960945
2013-10-16,33.6559203334636
2013-10-17,34.13642796684695
2013-10-18,41.238117439330416
2013-10-21,44.816354413308126
2013-10-22,47.96244562470718
2013-10-23,33.959117570984745
2013-10-24,31.07099243365065
2013-10-25,30.356090445714795
2013-10-28,29.848289441168586
2013-10-29,29.688397142713132
2013-10-30,29.741876822194328
2013-10-31,29.483493087510116
2013-11-01,29.96784345504305
2013-11-04,30.606100297387908
2013-11-05,30.91837697689809
2013-11-06,32.91298042740674
2013-11-07,32.40708537743338
2013-11-08,32.02367858451091
2013-11-11,33.09863616730188
2013-11-12,33.15342615709431
2013-11-13,31.56222448016912
2013-11-14,32.41626868453292
2013-11-18,31.581493703642074
2013-11-19,32.33213411639081
2013-11-21,32.398212105196066
2013-11-22,31.57106455125643
2013-11-25,31.40820550022257
2013-11-26,31.217521557734855
2013-11-27,31.082019928611807
2013-11-28,31.350387610096586
2013-11-29,31.642776010128674
2013-12-02,31.498731272052016
2013-12-03,31.59123053251184
2013-12-04,33.28810085733072
2013-12-05,36.05287539611496
2013-12-06,35.334234291248755
2013-12-09,36.18530718643979
2013-12-10,36.398826396009504
2013-12-11,35.270203917898534
2013-12-12,35.886329006204605
2013-12-13,36.24843448834912
2013-12-16,36.47073782642023
2013-12-17,37.07744501531353
2013-12-18,37.81309843046257
2013-12-19,39.29128296055406
2013-12-20,40.26619574778253
