date,average_days_to_cover
2013-02-22,0.563459613694659
2013-02-25,0.5542017772777639
2013-02-26,0.5925471607377591
2013-02-27,0.6075803509504759
2013-02-28,0.6180859805480822
2013-03-01,0.6017414519156689
2013-03-04,0.5966139657727655
2013-03-05,0.6055316376006222
2013-03-06,0.6261821251068288
2013-03-07,0.6373607383877168
2013-03-08,0.6688585934294501
2013-03-11,0.6078500337700894
2013-03-12,0.5788722238434171
2013-03-13,0.6223548721912627
2013-03-14,0.6812537441035255
2013-03-15,0.670582293159545
2013-03-18,0.7248661610541125
2013-03-19,0.7055918810186717
2013-03-20,0.6914385281673617
2013-03-21,0.7098639033044112
2013-03-22,0.6934244415028749
2013-03-25,0.7248338548964317
2013-03-26,0.6966278169170204
2013-03-27,0.6853594338033738
2013-03-28,0.6862235114774441
2013-04-01,0.6922302012826053
2013-04-02,0.7139224193676562
2013-04-03,0.7104189334167533
2013-04-04,0.7100289115025731
2013-04-05,0.7167356845739754
2013-04-08,0.7141525510234992
2013-04-09,0.7333410155527307
2013-04-10,0.7199740564949512
2013-04-11,0.7314160935031468
2013-04-12,0.7249849296359762
2013-04-15,0.7148981816038529
2013-04-16,0.6780139812553274
2013-04-17,0.6783525510148111
2013-04-18,0.7009011607352077
2013-04-19,0.7074653092938697
2013-04-22,0.7483767354126207
2013-04-23,0.780412620393844
2013-04-24,0.7121442392753762
2013-04-25,0.7318039846492568
2013-04-26,0.7156148116338128
2013-04-29,0.7648575547342555
2013-04-30,0.7502923068165734
2013-05-02,0.7965789261949644
2013-05-03,0.7958325187415095
2013-05-06,0.755961935813852
2013-05-07,0.7598611603559702
2013-05-08,0.7614543186126217
2013-05-09,0.7956566083131401
2013-05-10,0.7615938140258933
2013-05-13,0.7566068282348811
2013-05-14,0.7456110081789927
2013-05-15,0.7488053845507566
2013-05-16,0.6918200083090174
2013-05-17,0.7144410801237695
2013-05-20,0.7223677850926423
2013-05-21,0.7263356427079304
2013-05-22,0.7092750427944559
2013-05-23,0.7327444947259188
2013-05-24,0.7143081927330799
2013-05-27,0.6956577940694103
2013-05-28,0.7080721718695251
2013-05-29,0.7247100647114841
2013-05-31,0.7102160784646662
2013-06-03,0.7080737605216975
2013-06-04,0.7110551624428225
2013-06-05,0.7022692315561484
2013-06-06,0.6983662104069495
2013-06-07,0.7430063557832258
2013-06-10,0.7424680739016928
2013-06-11,0.7356208253979072
2013-06-12,0.7162339749368755
2013-06-13,0.7358429558604578
2013-06-14,0.7928066805008966
2013-06-17,0.8039962782366886
2013-06-18,0.8041552180178362
2013-06-19,0.758557344961151
2013-06-20,0.7538795550319034
2013-06-21,0.7570762866538476
2013-06-24,0.7066770145780646
2013-06-25,0.6950570174979019
2013-06-26,0.7111852182820668
2013-06-27,0.720899424576981
2013-06-28,0.6764243862952101
2013-07-01,0.6642842934145619
2013-07-02,0.6942254804665269
2013-07-03,0.6135595743559256
2013-07-04,0.6270825716012394
2013-07-05,0.6224314592513078
2013-07-08,0.6317210437820524
2013-07-10,0.6423216813599415
2013-07-11,0.6332180575020787
2013-07-12,0.6259836289413003
2013-07-15,0.6509029875591686
2013-07-16,0.6491296804138356
2013-07-17,0.6425633727869684
2013-07-18,0.6469580311387909
2013-07-19,0.6567131509613732
2013-07-22,0.6630163620001116
2013-07-23,0.6447807743152265
2013-07-24,0.6429315797980297
2013-07-25,0.6548047397927561
2013-07-26,0.6579590802682062
2013-07-29,0.6701287103190935
2013-07-30,0.6682097646674966
2013-07-31,0.6649822440775468
