ano,mes,dia,semana_aluguel_100
2020,5,22,.0077671
2020,5,29,.0074766
2020,6,5,.0075719
2020,6,12,.0052159
2020,6,19,.006048
2020,6,26,.0060065
2020,7,3,.0058807
2020,7,10,.0070438
2020,7,17,.0062562
2020,7,24,.0071537
2020,7,31,.006489
2020,8,7,.0063399
2020,8,14,.0054778
2020,8,21,.005481
2020,8,28,.0059823
2020,9,4,.0060365
2020,9,11,.0047903
2020,9,18,.005849
2020,9,25,.0052454
2020,10,2,.0056921
2020,10,9,.0056639
2020,10,16,.0040176
2020,10,23,.0051212
2020,10,30,.0051307
2020,11,6,.0045579
2020,11,13,.0061912
2020,11,20,.0058508
2020,11,27,.0056852
2020,12,4,.0055705
2020,12,11,.0058533
2020,12,18,.0072896
2020,12,25,.0052715
2021,1,1,.0038444
2021,1,8,.0066741
2021,1,15,.0079172
2021,1,22,.0088434
2021,1,29,.0086402
2021,2,5,.0117721
2021,2,12,.0106299
2021,2,19,.0065502
2021,2,26,.011931
2021,3,5,.0129222
2021,3,12,.0145774
2021,3,19,.0121421
2021,3,26,.0118609
2021,4,2,.0095874
2021,4,9,.0121201
2021,4,16,.0125169
2021,4,23,.0090045
2021,4,30,.0123437
2021,5,7,.0159517
2021,5,14,.0137755
2021,5,21,.0136218
2021,5,28,.0159989
2021,6,4,.0111249
2021,6,11,.0130883
2021,6,18,.0130153
2021,6,25,.0124253
2021,7,2,.0121766
2021,7,9,.0094109
2021,7,16,.0115017
2021,7,23,.0120978
2021,7,30,.0116795
2021,8,6,.0103486
2021,8,13,.0097993
2021,8,20,.0096954
2021,8,27,.0106455
2021,9,3,.0107128
2021,9,10,.0084988
2021,9,17,.0112266
2021,9,24,.0121138
2021,10,1,.0121202
2021,10,8,.0130842
2021,10,15,.0109181
2021,10,22,.0149994
2021,10,29,.0160352
2021,11,5,.0134914
2021,11,12,.017108
2021,11,19,.0151699
2021,11,26,.018179
2021,12,3,.0233839
2021,12,10,.018797
2021,12,17,.0176685
2021,12,24,.0144887
2021,12,31,.0135723
2022,1,7,.0190636
2022,1,14,.0214937
2022,1,21,.0214459
2022,1,28,.023009
2022,2,4,.025856
2022,2,11,.025288
2022,2,18,.0236563
2022,2,25,.0202101
2022,3,4,.0123608
2022,3,11,.020273
2022,3,18,.0228823
2022,3,25,.0247726
2022,4,1,.0223028
2022,4,8,.0203307
2022,4,15,.01514
2022,4,22,.014798
2022,4,29,.018657
2022,5,6,.019284
2022,5,13,.0205409
2022,5,20,.0200144
2022,5,27,.0185867
2022,6,3,.0216251
2022,6,10,.0233722
2022,6,17,.0193013
2022,6,24,.0211639
2022,7,1,.0179958
2022,7,8,.0159867
2022,7,15,.0147738
2022,7,22,.0134851
2022,7,29,.0130186
2022,8,5,.0129087
2022,8,12,.0140336
2022,8,19,.0133601
2022,8,25,.0137497
