ano,mes,dia,yield_week_pc
2002,10,25,.0193067
2002,11,1,.018541
2002,11,8,.0187853
2002,11,14,.0188365
2002,11,22,.0185589
2002,11,29,.0184859
2002,12,6,.019515
2002,12,13,.0195658
2002,12,20,.0190007
2002,12,27,.0188464
2003,1,3,.0190293
2003,1,10,.0190125
2003,1,17,.0190275
2003,1,24,.019865
2003,1,31,.020461
2003,2,7,.0193102
2003,2,14,.0195463
2003,2,21,.0195627
2003,2,28,.0198322
2003,3,7,.0159054
2003,3,14,.0160001
2003,3,21,.0153364
2003,3,28,.0152936
2003,4,4,.0193989
2003,4,11,.0206143
2003,4,17,.0204662
2003,4,25,.0203271
2003,5,2,.0218156
2003,5,9,.0271461
2003,5,16,.0267299
2003,5,23,.027341
2003,5,30,.0269662
2003,6,6,.0268352
2003,6,13,.026467
2003,6,20,.0265954
2003,6,27,.0273052
2003,7,4,.0279504
2003,7,11,.0276042
2003,7,18,.0273563
2003,7,25,.0269834
2003,8,1,.0269702
2003,8,8,.0271295
2003,8,15,.02616
2003,8,22,.0252187
2003,8,29,.0244014
2003,9,5,.0254199
2003,9,12,.0252067
2003,9,19,.0249772
2003,9,26,.0257423
2003,10,3,.0249311
2003,10,10,.0236548
2003,10,17,.0234464
2003,10,24,.0234866
2003,10,31,.023568
2003,11,7,.0336029
2003,11,14,.0335627
2003,11,21,.0332248
2003,11,28,.0320638
2003,12,5,.0336135
2003,12,12,.0327489
2003,12,19,.0323327
2003,12,26,.0309752
2004,1,2,.0311418
2004,1,9,.0306653
2004,1,16,.0310444
2004,1,23,.0312677
2004,1,30,.0314937
2004,2,6,.0339504
2004,2,13,.0326905
2004,2,20,.0333641
2004,2,27,.0334673
2004,3,5,.0340603
2004,3,12,.0355517
2004,3,19,.0358122
2004,3,26,.0365985
2004,4,2,.0358678
2004,4,8,.036534
2004,4,16,.0376909
2004,4,23,.0393624
2004,4,30,.0412298
2004,5,7,.0492529
2004,5,14,.0513897
2004,5,21,.050767
2004,5,28,.0487168
2004,6,4,.0441934
2004,6,11,.0423953
2004,6,18,.0426116
2004,6,25,.0421208
2004,7,2,.041133
2004,7,8,.040783
2004,7,16,.0396745
2004,7,23,.0398881
2004,7,30,.0396083
2004,8,6,.0396022
2004,8,13,.0397115
2004,8,20,.0379939
2004,8,27,.037718
2004,9,3,.0369949
2004,9,10,.0372356
2004,9,17,.0368431
2004,9,24,.0361767
2004,10,1,.0361218
2004,10,8,.036223
2004,10,15,.0370282
2004,10,22,.0373889
2004,10,29,.0371223
2004,11,5,.0415975
2004,11,12,.0415399
2004,11,19,.0410747
2004,11,26,.0404835
2004,12,3,.0394422
2004,12,10,.03916
2004,12,17,.0382039
