ano,mes,dia,Rm_minus_Rf
2003,2,7,-.0141378
2003,2,10,.0090837
2003,2,11,.000342
2003,2,12,.0002361
2003,2,13,-.0245893
2003,2,14,-.0052668
2003,2,17,.0068824
2003,2,18,.01199
2003,2,19,-.0109314
2003,2,20,-.0051994
2003,2,21,.0113615
2003,2,24,-.0128344
2003,2,25,-.0091233
2003,2,26,-.0119311
2003,2,27,.0042448
2003,2,28,.0141933
2003,3,5,-.0051145
2003,3,6,.0200106
2003,3,7,.0033738
2003,3,10,-.0248316
2003,3,11,.0030201
2003,3,12,.0131748
2003,3,13,.0076834
2003,3,14,.0067286
2003,3,17,.0037344
2003,3,18,.0179133
2003,3,19,-.0087888
2003,3,20,.0115423
2003,3,21,.0096485
2003,3,24,-.0231348
2003,3,25,.0087456
2003,3,26,-.0023834
2003,3,27,.0011107
2003,3,28,.005715
2003,3,31,-.0080341
2003,4,1,.0161203
2003,4,2,.0126693
2003,4,3,.0056536
2003,4,4,.0028922
2003,4,7,.0003838
2003,4,8,-.0225747
2003,4,9,.0019961
2003,4,10,-.0069348
2003,4,11,.0011598
2003,4,14,.0016829
2003,4,15,.0083024
2003,4,16,-.0072042
2003,4,17,.0166694
2003,4,22,.0028464
2003,4,23,-.0004443
2003,4,24,-.0160606
2003,4,25,-.0013988
2003,4,28,.015203
2003,4,29,.0121473
2003,4,30,-.0027445
2003,5,2,.014865
2003,5,5,.0093721
2003,5,6,-.0109611
2003,5,7,.0128487
2003,5,8,-.0085366
2003,5,9,.0179698
2003,5,12,.0025487
2003,5,13,.007732
2003,5,14,-.0044118
2003,5,15,-.0108061
2003,5,16,.0004107
2003,5,19,-.0241591
2003,5,20,-.0030531
2003,5,21,.0128561
2003,5,22,.0008155
2003,5,23,-.0015508
2003,5,26,-.0158777
2003,5,27,.0216533
2003,5,28,.0072206
2003,5,29,-.0024503
2003,5,30,-.002218
2003,6,2,-.011873
2003,6,3,.0031704
2003,6,4,.0217508
2003,6,5,-.001754
2003,6,6,.0086678
2003,6,9,-.0100224
2003,6,10,-.0043818
2003,6,11,-.0009855
2003,6,12,.0084428
2003,6,13,-.0086126
2003,6,16,.0053509
2003,6,17,-.0022191
2003,6,18,-.0143412
2003,6,20,-.02167
2003,6,23,-.0106089
2003,6,24,.0054322
2003,6,25,-.006188
2003,6,26,.0069251
2003,6,27,-.0041726
2003,6,30,-.0067615
2003,7,1,.0171749
2003,7,2,.0015615
2003,7,3,-.0068788
2003,7,4,.0090557
2003,7,7,.0105597
2003,7,8,.0097826
2003,7,10,-.00326
2003,7,11,-.0101908
2003,7,14,.0141395
2003,7,15,.0030463
2003,7,16,-.0094179
2003,7,17,.004282
2003,7,18,.0077743
2003,7,21,-.0019768
2003,7,22,.0069479
2003,7,23,.0017009
2003,7,24,-.0006034
2003,7,25,.0021241
2003,7,28,-.0003027
2003,7,29,-.0021317
2003,7,30,-.0070106
2003,7,31,.0084718
2003,8,1,-.0244879
2003,8,4,-.0148889
2003,8,5,.0088224
2003,8,6,-.0086837
2003,8,7,.0228475
2003,8,8,.0128257
2003,8,11,.0008182
2003,8,12,.0047706
2003,8,13,.0004542
2003,8,14,.0129853
2003,8,15,.0024094
2003,8,18,.0117855
2003,8,19,-.0031669
2003,8,20,.013792
2003,8,21,.0106865
2003,8,22,-.0057674
2003,8,25,-.0115558
2003,8,26,.016182
2003,8,27,.0205785
2003,8,28,.0014894
2003,8,29,.0102079
2003,9,1,.0101987
2003,9,2,.0008098
2003,9,3,.0128673
2003,9,4,.0096088
2003,9,5,.010007
2003,9,8,-.0010471
2003,9,9,-.0249398
2003,9,10,.009337
2003,9,11,.0118091
2003,9,12,.0012995
2003,9,15,-.0115837
2003,9,16,.001703
2003,9,17,.0051632
2003,9,18,.011971
2003,9,19,-.0027327
2003,9,22,-.0159881
2003,9,23,-.0092875
2003,9,24,-.0150018
2003,9,25,-.017252
2003,9,26,.0001898
2003,9,29,.0152707
2003,9,30,-.0078599
2003,10,1,.0353839
2003,10,2,.0197828
2003,10,3,.0147452
2003,10,6,.0072032
2003,10,7,.0056813
2003,10,8,.0091174
2003,10,9,-.0065806
2003,10,10,-.0061819
2003,10,13,.0189547
2003,10,14,.0014249
2003,10,15,-.0113761
2003,10,16,-.0002039
2003,10,17,-.0065524
2003,10,20,.0201081
2003,10,21,.0003023
2003,10,22,-.0107891
2003,10,23,-.0232562
2003,10,24,.0070426
2003,10,27,.0007863
2003,10,28,.0127902
2003,10,29,-.0129698
2003,10,30,.0084089
2003,10,31,-.0025349
2003,11,3,.0201984
