ano,mes,dia,IML
2003,1,27,-.0116182
2003,1,28,-.001668
2003,1,29,-.0041917
2003,1,30,-.0015147
2003,1,31,.0021049
2003,2,3,-.0007501
2003,2,4,-.0165118
2003,2,5,.0001605
2003,2,6,.0015996
2003,2,7,-.0003693
2003,2,10,.0019728
2003,2,11,.0183668
2003,2,12,.0042675
2003,2,13,.0136179
2003,2,14,.0034149
2003,2,17,-.0071272
2003,2,18,-.0016072
2003,2,19,-.0004309
2003,2,20,-.0004807
2003,2,21,-.0069992
2003,2,24,-.001375
2003,2,25,.0123627
2003,2,26,.0141964
2003,2,27,.0060094
2003,2,28,-.0125354
2003,3,5,-.0017785
2003,3,6,-.016798
2003,3,7,-.0087428
2003,3,10,-.0082382
2003,3,11,-.0073644
2003,3,12,-.0095619
2003,3,13,.0134601
2003,3,14,-.0086231
2003,3,17,-.0091045
2003,3,18,-.0151156
2003,3,19,-.01528
2003,3,20,.0028693
2003,3,21,-.008628
2003,3,24,.0092932
2003,3,25,.0082767
2003,3,26,-.002583
2003,3,27,-.0026855
2003,3,28,.0095577
2003,3,31,-.0141069
2003,4,1,-.0167097
2003,4,2,-.0009805
2003,4,3,.0110503
2003,4,4,-.0212066
2003,4,7,-.0054849
2003,4,8,.0021313
2003,4,9,-.0152564
2003,4,10,.0170626
2003,4,11,.0084296
2003,4,14,.0083095
2003,4,15,.0152889
2003,4,16,-.0074528
2003,4,17,-.002434
2003,4,22,-.0064408
2003,4,23,-.0051771
2003,4,24,.0006197
2003,4,25,-.0010117
2003,4,28,-.0068233
2003,4,29,-.0018772
2003,4,30,.0204191
2003,5,2,-.019341
2003,5,5,-.0113997
2003,5,6,.0087282
2003,5,7,.0065672
2003,5,8,.002042
2003,5,9,-.006728
2003,5,12,.0023308
2003,5,13,-.0153985
2003,5,14,.0031473
2003,5,15,-.0175722
2003,5,16,.0139684
2003,5,19,-.0021026
2003,5,20,-.0085162
2003,5,21,.0026331
2003,5,22,-.00704
2003,5,23,-.0028773
2003,5,26,-.001618
2003,5,27,-.0081728
2003,5,28,-.0020862
2003,5,29,.0032169
2003,5,30,.0042872
2003,6,2,.0165735
2003,6,3,.0112857
2003,6,4,-.0102076
2003,6,5,.0025299
2003,6,6,-.0037805
2003,6,9,.0096603
2003,6,10,-.019981
2003,6,11,-.0013061
2003,6,12,-.0061565
2003,6,13,.0068406
2003,6,16,.0038278
2003,6,17,-.0074459
2003,6,18,-.0035596
2003,6,20,-.005764
2003,6,23,.0111078
2003,6,24,.0114778
2003,6,25,-.0011545
2003,6,26,-.0096396
2003,6,27,.0042459
2003,6,30,.0152329
2003,7,1,.0005834
2003,7,2,-.0075199
2003,7,3,.0103618
2003,7,4,.0034537
2003,7,7,-.0178704
2003,7,8,.02304
2003,7,10,-.0010519
2003,7,11,.0047733
2003,7,14,-.008488
2003,7,15,-.0038124
2003,7,16,.0093054
2003,7,17,-.0004881
2003,7,18,-.0057812
2003,7,21,.0063453
2003,7,22,-.0010059
2003,7,23,-.002147
2003,7,24,-.0003246
2003,7,25,.001897
2003,7,28,.0079323
2003,7,29,.0093609
2003,7,30,.0030534
2003,7,31,-.0021526
2003,8,1,.0084639
2003,8,4,.0092506
2003,8,5,-.0219867
2003,8,6,-.0139858
2003,8,7,.0038742
2003,8,8,-.0133133
2003,8,11,.0075703
2003,8,12,.0055909
2003,8,13,.0308586
2003,8,14,-.0035203
2003,8,15,-.0076967
2003,8,18,.0013518
2003,8,19,-.0004384
2003,8,20,.0066009
2003,8,21,-.0100353
2003,8,22,-.0002641
2003,8,25,.0104769
2003,8,26,.0137931
2003,8,27,-.0115604
2003,8,28,.0004894
2003,8,29,-.0122589
2003,9,1,-.0076191
2003,9,2,.013928
2003,9,3,.019691
2003,9,4,-.0114864
2003,9,5,.0113828
2003,9,8,.0054007
2003,9,9,.0202913
2003,9,10,.0077571
2003,9,11,-.0131024
2003,9,12,.0200392
2003,9,15,.0029491
2003,9,16,.0162385
2003,9,17,.0047203
2003,9,18,.0028968
2003,9,19,.0096373
2003,9,22,.0188005
2003,9,23,-.0055014
2003,9,24,-.0057885
2003,9,25,-.0008291
2003,9,26,-.0070988
2003,9,29,-.0017525
2003,9,30,.004615
2003,10,1,-.0087751
2003,10,2,.0131377
2003,10,3,.0027983
2003,10,6,-.0006796
2003,10,7,.0034659
2003,10,8,-.0122145
2003,10,9,-.0156128
2003,10,10,.0141126
2003,10,13,.0029315
2003,10,14,.0010643
2003,10,15,-.0016652
2003,10,16,-.0097687
2003,10,17,.0061715
2003,10,20,-.011537
2003,10,21,.0112775
2003,10,22,-.0014386
2003,10,23,.0002405
2003,10,24,.0035313
2003,10,27,.0142567
2003,10,28,-.0151925
2003,10,29,.0129601
2003,10,30,-.0019658
2003,10,31,-.0026989
2003,11,3,.0013546
2003,11,4,.0117619
2003,11,5,.0171357
2003,11,6,.0169405
2003,11,7,.020763
2003,11,10,.0221758
2003,11,11,-.0173344
2003,11,12,-.0177915
2003,11,13,-.0113348
2003,11,14,.0037439
2003,11,17,.0074537
2003,11,18,.0141635
2003,11,19,.0141153
2003,11,20,.009398
2003,11,21,-.0039721
2003,11,24,.0007691
2003,11,25,-.0010161
2003,11,26,-.0094152
2003,11,27,-.0007803
2003,11,28,-.0012286
2003,12,1,-.0011359
2003,12,2,-.007963
2003,12,3,-.0047747
2003,12,4,.0085443
2003,12,5,-.0024283
2003,12,8,.0202885
2003,12,9,.0017706
2003,12,10,-.0109011
2003,12,11,.0109513
2003,12,12,-.0002245
2003,12,15,.0020859
2003,12,16,.0000112
2003,12,17,.0208635
2003,12,18,-.004199
2003,12,19,-.0096659
2003,12,22,-.0096182
2003,12,23,.0027527
2003,12,26,-.0076825
2003,12,29,-.0101831
2003,12,30,-.0029657
2004,1,2,.0003605
2004,1,5,-.006262
2004,1,6,.0072997
2004,1,7,.0009345
2004,1,8,.0054451
2004,1,9,.0047902
2004,1,12,.0170656
2004,1,13,-.0052569
2004,1,14,-.0076672
2004,1,15,.0171691
2004,1,16,-.0087899
2004,1,19,-.0025516
2004,1,20,-.0013873
2004,1,21,-.0019058
2004,1,22,-.0068386
2004,1,23,.0014569
2004,1,26,-.0056349
2004,1,27,-.0037607
2004,1,28,.0075
2004,1,29,-.0119821
2004,1,30,-.0115235
2004,2,2,-.0062146
2004,2,3,.0074184
2004,2,4,.0014151
2004,2,5,.0041204
2004,2,6,-.0029294
2004,2,9,-.0022517
2004,2,10,-.0080019
2004,2,11,.001382
2004,2,12,-.0030488
2004,2,13,-.009071
2004,2,16,.0030594
2004,2,17,-.0003603
2004,2,18,-.0059487
2004,2,19,-.0069277
2004,2,20,-.0008723
2004,2,25,-.007198
2004,2,26,.0042981
2004,2,27,.0046083
2004,3,1,-.0036461
2004,3,2,.007459
2004,3,3,.0162891
2004,3,4,.0192423
2004,3,5,.0053242
2004,3,8,.0111702
2004,3,9,.0098243
2004,3,10,.010732
2004,3,11,.0024266
2004,3,12,.0118812
2004,3,15,.0043436
2004,3,16,.0004156
2004,3,17,-.0109974
2004,3,18,-.0018523
2004,3,19,-.0043381
2004,3,22,-.0012163
2004,3,23,.000738
2004,3,24,.0041629
2004,3,25,-.009468
2004,3,26,.0112995
2004,3,29,.008869
2004,3,30,.0140094
2004,3,31,.0120962
2004,4,1,-.0096823
2004,4,2,-.0173725
2004,4,5,.0187755
2004,4,6,.0003597
2004,4,7,.0049965
2004,4,8,.005934
2004,4,12,-.0086261
2004,4,13,-.0021894
2004,4,14,-.0020249
2004,4,15,-.0034124
2004,4,16,.0119349
2004,4,19,-.0113065
2004,4,20,-.0027248
2004,4,22,.0070769
2004,4,23,.0015288
2004,4,26,.0032844
2004,4,27,-.009368
2004,4,28,-.003295
2004,4,29,-.0089973
2004,4,30,.0006172
2004,5,3,.0053707
2004,5,4,-.0134244
2004,5,5,.0037438
2004,5,6,.0062328
2004,5,7,-.0116582
2004,5,10,-.0147827
2004,5,11,-.0007064
2004,5,12,.0130572
2004,5,13,.008375
2004,5,14,.0351973
2004,5,17,-.0018069
2004,5,18,-.0146188
2004,5,19,-.0220697
2004,5,20,-.0050223
2004,5,21,-.0026544
2004,5,24,-.0166165
2004,5,25,.0003421
2004,5,26,-.0017954
2004,5,27,.0038674
2004,5,28,-.0051816
2004,5,31,-.0075258
2004,6,1,-.0170395
2004,6,2,.0180316
2004,6,3,.0040041
2004,6,4,.0050461
2004,6,7,-.0043768
2004,6,8,.0003279
2004,6,9,-.0032475
2004,6,11,-.0045179
2004,6,14,-.0028823
2004,6,15,.0117205
2004,6,16,.0235975
2004,6,17,-.0129049
2004,6,18,-.0003064
2004,6,21,-.0004473
2004,6,22,-.0059169
2004,6,23,-.0016695
2004,6,24,.0028691
2004,6,25,-.0176408
2004,6,28,-.0114313
2004,6,29,-.0132794
2004,6,30,.0032044
2004,7,1,-.01093
2004,7,2,.0099187
2004,7,5,-.0032183
2004,7,6,.0040287
2004,7,7,.0089861
2004,7,8,.0070845
2004,7,12,.0013501
2004,7,13,-.0147033
2004,7,14,-.0027205
2004,7,15,.0080212
2004,7,16,-.0126054
2004,7,19,.0000183
2004,7,20,-.0035279
2004,7,21,-.0038533
2004,7,22,.0212069
2004,7,23,.007405
2004,7,26,.0085777
2004,7,27,-.0126814
2004,7,28,-.0084049
2004,7,29,.0015476
2004,7,30,-.0109137
2004,8,2,.0085452
2004,8,3,-.0092737
2004,8,4,-.0089694
2004,8,5,.0027378
2004,8,6,-.0072105
2004,8,9,.0005846
2004,8,10,.0016345
2004,8,11,-.0034717
2004,8,12,-.0079964
2004,8,13,-.0121617
2004,8,16,-.0081958
2004,8,17,.0111403
2004,8,18,.0051361
2004,8,19,-.0009305
2004,8,20,.0108947
2004,8,23,.0114714
2004,8,24,.0227979
2004,8,25,.0040115
2004,8,26,.0039297
2004,8,27,.008214
2004,8,30,.002456
2004,8,31,-.0001593
2004,9,1,-.0063274
2004,9,2,.0086202
2004,9,3,.0104579
2004,9,6,.0035691
2004,9,8,.0070826
2004,9,9,.0094913
2004,9,10,-.0094578
2004,9,13,.0065482
2004,9,14,-.0110483
2004,9,15,-.0017463
2004,9,16,.0122736
2004,9,17,-.006017
2004,9,20,.0033349
2004,9,21,-.0014696
2004,9,22,-.0065433
2004,9,23,.0082575
2004,9,24,-.0036663
2004,9,27,.0049581
2004,9,28,-.0195388
2004,9,29,-.0040967
2004,9,30,.0104957
2004,10,1,.006023
2004,10,4,-.0109231
2004,10,5,-.0224546
2004,10,6,-.0160814
2004,10,7,-.0011969
2004,10,8,.0061547
2004,10,11,-.0033316
2004,10,13,.0006156
2004,10,14,.0071372
2004,10,15,-.0034223
2004,10,18,.0053131
2004,10,19,.0178742
2004,10,20,.0059417
2004,10,21,-.013918
2004,10,22,.0011005
2004,10,25,-.0044571
2004,10,26,-.003549
2004,10,27,-.0072522
2004,10,28,.0031548
2004,10,29,.0053685
2004,11,1,.0072487
2004,11,3,.0025174
2004,11,4,-.0032365
2004,11,5,.0019184
2004,11,8,.0151631
2004,11,9,-.0014888
2004,11,10,-.0114397
2004,11,11,.0035401
2004,11,12,-.0018036
2004,11,16,.0043614
2004,11,17,-.0091149
2004,11,18,.0016196
2004,11,19,-.0029377
2004,11,22,.0112304
2004,11,23,-.0033389
2004,11,24,-.0007929
2004,11,25,-.010412
2004,11,26,-.0050709
2004,11,29,-.0074568
2004,11,30,-.0072082
2004,12,1,.003463
2004,12,2,-.0015542
2004,12,3,-.0021195
2004,12,6,.0035509
2004,12,7,.0210883
2004,12,8,.0187404
2004,12,9,-.0155961
2004,12,10,-.0014562
2004,12,13,-.0121178
2004,12,14,-.0071616
2004,12,15,-.008717
2004,12,16,.0037788
2004,12,17,.0017791
2004,12,20,.0076457
2004,12,21,-.0037363
2004,12,22,-.0040188
2004,12,23,-.0026686
2004,12,27,.0038618
2004,12,28,.003946
2004,12,29,-.0012029
2004,12,30,-.0030109
2005,1,3,.0153115
2005,1,4,.003744
2005,1,5,.002942
2005,1,6,-.0005738
2005,1,7,-.0010422
2005,1,10,-.0077175
2005,1,11,.0054412
2005,1,12,.0091667
2005,1,13,-.0101449
2005,1,14,-.0048566
2005,1,17,-.0051699
2005,1,18,-.0021993
2005,1,19,.0056646
2005,1,20,.0032013
2005,1,21,-.0052895
2005,1,24,-.0039947
2005,1,26,.0004437
2005,1,27,.0020822
2005,1,28,-.0046721
2005,1,31,-.0089719
2005,2,1,-.0129845
2005,2,2,.0062814
2005,2,3,.0156083
2005,2,4,.0001748
2005,2,9,-.0111165
2005,2,10,.0062293
2005,2,11,-.0034068
2005,2,14,-.0120636
2005,2,15,.0038733
2005,2,16,-.0076063
2005,2,17,.0019938
2005,2,18,.0031561
2005,2,21,-.0011211
2005,2,22,-.0104593
2005,2,23,-.008203
2005,2,24,-.0067998
2005,2,25,-.0148631
2005,2,28,-.0005639
2005,3,1,-.0017856
2005,3,2,.0030448
2005,3,3,-.0085492
2005,3,4,-.0130693
2005,3,7,-.0029571
2005,3,8,.0089153
2005,3,9,-.0008401
2005,3,10,.0132437
2005,3,11,-.0013399
2005,3,14,.0110162
2005,3,15,-.0031825
2005,3,16,.0007586
2005,3,17,-.0081485
2005,3,18,-.0049917
2005,3,21,.015482
2005,3,22,-.0115959
2005,3,23,.0097875
2005,3,24,-.0139008
2005,3,28,.0065287
2005,3,29,.0027623
2005,3,30,-.0038078
2005,3,31,-.0018841
2005,4,1,.0057524
2005,4,4,-.0048383
2005,4,5,-.0075266
2005,4,6,-.0004847
2005,4,7,.0122008
2005,4,8,.0051883
2005,4,11,-.0026876
2005,4,12,.0050059
2005,4,13,.0061444
2005,4,14,.0102673
2005,4,15,-.0050227
2005,4,18,.005467
2005,4,19,-.00354
2005,4,20,.0048147
2005,4,22,.0014541
2005,4,25,-.0062408
2005,4,26,-.0007408
2005,4,27,-.0062473
2005,4,28,.0096239
2005,4,29,.0152465
2005,5,2,.0114495
2005,5,3,-.0058739
2005,5,4,.0078173
2005,5,5,.0080583
2005,5,6,.004065
2005,5,9,.0036418
2005,5,10,.0123006
2005,5,11,.0030154
2005,5,12,.0028105
2005,5,13,-.0055312
2005,5,16,-.0056359
2005,5,17,-.0044573
2005,5,18,-.0071169
2005,5,19,.0050169
2005,5,20,.0006347
2005,5,23,.0106486
2005,5,24,.0018266
2005,5,25,.0124881
2005,5,27,.0034072
2005,5,30,-.0150977
2005,5,31,.0132447
2005,6,1,-.0029895
2005,6,2,.0006828
2005,6,3,-.0116429
2005,6,6,-.0136796
2005,6,7,-.0029325
2005,6,8,.0032164
2005,6,9,-.011533
2005,6,10,.0003049
2005,6,13,.0011336
2005,6,14,.0152246
2005,6,15,-.0065387
2005,6,16,.0003885
2005,6,17,.0068227
2005,6,20,.0035731
2005,6,21,.0194632
2005,6,22,-.0117554
2005,6,23,-.0099226
2005,6,24,.0169872
2005,6,27,-.010456
2005,6,28,-.0131319
2005,6,29,-.0044412
2005,6,30,.0136467
2005,7,1,-.0012406
2005,7,4,-.0145845
2005,7,5,-.0039247
2005,7,6,-.0030466
2005,7,7,-.0018918
2005,7,8,-.004093
2005,7,11,-.0007834
