ano,mes,dia,SMB
2002,12,10,.0039308
2002,12,11,.0101457
2002,12,12,-.0010139
2002,12,13,.0059376
2002,12,16,-.0046194
2002,12,17,-.0089041
2002,12,18,.0143693
2002,12,19,-.0170698
2002,12,20,.0054827
2002,12,23,.0149054
2002,12,26,.0125726
2002,12,27,.0044277
2002,12,30,-.0200097
2003,1,2,.0231625
2003,1,3,.0100187
2003,1,6,.0163505
2003,1,7,.0056761
2003,1,8,-.0043502
2003,1,9,.0119085
2003,1,10,.0054372
2003,1,13,-.012143
2003,1,14,.0034699
2003,1,15,-.0112692
2003,1,16,.0137003
2003,1,17,-.0024058
2003,1,20,-.0038038
2003,1,21,-.0074225
2003,1,22,.0137028
2003,1,23,.0022243
2003,1,24,-.0224563
2003,1,27,-.0299648
2003,1,28,.014184
2003,1,29,.0044794
2003,1,30,.0074525
2003,1,31,.0073257
2003,2,3,-.0095293
2003,2,4,-.0304522
2003,2,5,-.0041586
2003,2,6,.0063094
2003,2,7,-.0058316
2003,2,10,.0049764
2003,2,11,.0154508
2003,2,12,-.0009401
2003,2,13,-.0041399
2003,2,14,.0053752
2003,2,17,.0030844
2003,2,18,.0113839
2003,2,19,-.0038338
2003,2,20,.0030438
2003,2,21,.002217
2003,2,24,.0079358
2003,2,25,.0176593
2003,2,26,.0012717
2003,2,27,.0113478
2003,2,28,-.0170956
2003,3,5,.0011697
2003,3,6,-.0028263
2003,3,7,-.0032984
2003,3,10,-.0248104
2003,3,11,-.0034665
2003,3,12,.0021186
2003,3,13,.0164555
2003,3,14,-.0155161
2003,3,17,-.008141
2003,3,18,-.0129191
2003,3,19,-.0247781
2003,3,20,.0091162
2003,3,21,-.0003737
2003,3,24,.0025669
2003,3,25,.0111744
2003,3,26,-.0021866
2003,3,27,-.002212
2003,3,28,.0214411
2003,3,31,-.0120172
2003,4,1,-.0038927
2003,4,2,.0112755
2003,4,3,.0171781
2003,4,4,-.0162605
2003,4,7,-.007448
2003,4,8,-.0115741
2003,4,9,-.0244943
2003,4,10,.0140119
2003,4,11,.0184375
2003,4,14,.0227584
2003,4,15,.0214272
2003,4,16,-.0031692
2003,4,17,.015524
2003,4,22,-.0060105
2003,4,23,-.0090314
2003,4,24,-.0081763
2003,4,25,.0045374
2003,4,28,.0034375
2003,4,29,.001673
2003,4,30,.0094572
2003,5,2,-.0115097
2003,5,5,-.0190645
2003,5,6,.0037109
2003,5,7,.0189283
2003,5,8,.0058515
2003,5,9,-.0067967
2003,5,12,.0043724
2003,5,13,-.0124452
2003,5,14,.0066297
2003,5,15,-.0274405
2003,5,16,.0195057
2003,5,19,-.0154651
2003,5,20,-.003565
2003,5,21,.0110602
2003,5,22,-.0032454
2003,5,23,.0021134
2003,5,26,-.006537
2003,5,27,-.0018122
2003,5,28,-.0096152
2003,5,29,.0083208
2003,5,30,.0081899
2003,6,2,.0133746
2003,6,3,.0125628
2003,6,4,-.0017904
2003,6,5,.0065084
2003,6,6,-.0006805
2003,6,9,.017679
2003,6,10,-.0112825
2003,6,11,-.0032393
2003,6,12,-.001795
2003,6,13,-.004496
2003,6,16,.0078518
2003,6,17,-.0125008
2003,6,18,-.0031134
2003,6,20,-.0122284
2003,6,23,.0056754
2003,6,24,.0117977
2003,6,25,.001801
2003,6,26,-.0091701
2003,6,27,.002743
2003,6,30,.0177614
2003,7,1,.0034877
2003,7,2,-.0053511
2003,7,3,.0025681
2003,7,4,.0101825
2003,7,7,-.012159
2003,7,8,.0249967
2003,7,10,-.0021682
2003,7,11,.000211
2003,7,14,-.008581
2003,7,15,-.0076262
2003,7,16,.0120129
2003,7,17,.0046193
2003,7,18,.0007606
2003,7,21,-.0034498
2003,7,22,-.0016803
2003,7,23,-.0043781
2003,7,24,-.0049881
2003,7,25,-.0029816
2003,7,28,-.0064177
2003,7,29,.0001127
2003,7,30,.0007226
2003,7,31,-.0090257
2003,8,1,-.0041669
2003,8,4,.0050772
2003,8,5,-.0124452
2003,8,6,-.0105092
2003,8,7,.0162596
2003,8,8,-.0089484
2003,8,11,.0126786
2003,8,12,.0111107
2003,8,13,.0263005
2003,8,14,-.0082767
2003,8,15,-.0068306
2003,8,18,-.0007252
2003,8,19,.0062492
2003,8,20,.0159147
2003,8,21,.0045781
